Trip  Return  Stops  Distance    Cost  Cumulative Cumulative
                                         Distance       Cost
   1       0      1     10.20   38.54       10.20       38.54
   2       1      2     13.80   59.26       24.00       97.80
   3       0      4     23.81  108.29       47.81      206.09
   4       0      3     17.35   79.85       65.17      285.95
   5       0      5     33.61  145.76       98.78      431.71
   6       1      7     52.17  217.86      150.95      649.57
   7       0      2      8.60   45.21      159.55      694.78
   8       0      1     10.10   38.27      169.65      733.05
   9       1      4     67.58  226.46      237.22      959.50
  10       1      5     65.12  230.83      302.35     1190.34
  11       0      3     20.19   87.50      322.53     1277.84
  12       0      2     15.00   62.49      337.53     1340.33
  13       0      5     30.41  137.12      367.94     1477.45
  14       0      4     27.75  118.94      395.70     1596.39
  15       0      3     22.77   94.47      418.47     1690.86
  16       0      4     31.72  129.64      450.19     1820.50
  17       0      5     40.04  163.11      490.23     1983.61
  18       1      4    103.84  324.37      594.07     2307.98
  19       0      3     22.70   94.29      616.77     2402.27
  20       0      3     16.78   78.30      633.54     2480.56
  21       0      4     28.01  119.62      661.55     2600.19
  22       1      5    141.10  435.98      802.66     3036.17
  23       1      1    125.26  349.20      927.92     3385.38
  24       1      2    141.76  404.75     1069.68     3790.13
  25       1      3    148.80  434.76     1218.48     4224.89
  26       0      2     20.32   76.86     1238.80     4301.75
  27       0      3     22.78   94.50     1261.57     4396.25
  28       0      4     27.00  116.90     1288.58     4513.16
  29       0      4     36.93  143.70     1325.50     4656.85
  30       0      2     18.05   70.73     1343.55     4727.58
  31       0      1     10.08   38.21     1353.63     4765.79
  32       1      4    245.78  707.61     1599.41     5473.40
  33       1      6    270.79  797.13     1870.20     6270.53
  34       0      3     18.40   82.69     1888.60     6353.22
  35       0      1     10.08   38.21     1898.68     6391.43
  36       1      3    264.48  747.08     2163.15     7138.51
  37       0      2     14.85   62.10     2178.00     7200.61
  38       0      1      4.61   23.44     2182.61     7224.05
  39       1      4    271.71  777.62     2454.32     8001.67
  40       1      4    269.72  772.24     2724.04     8773.91
  41       0      3     19.98   86.95     2744.02     8860.86
  42       0      2     19.09   73.55     2763.11     8934.40
  43       0      2     18.01   70.62     2781.12     9005.02
  44       0      2     12.49   55.73     2793.61     9060.75
  45       0      4     31.34  128.61     2824.95     9189.36
  46       1      5    337.24  965.56     3162.19    10154.92
  47       1      2    301.81  836.88     3464.00    10991.80
  48       0      4     32.75  132.42     3496.75    11124.22
  49       0      1     10.08   38.21     3506.83    11162.43
  50       0      1     10.00   38.00     3516.83    11200.43
  51       1      3    361.39 1008.76     3878.22    12209.19
  52       1      2    363.13 1002.46     4241.35    13211.64
  53       1      3    390.63 1087.71     4631.98    14299.35
  54       0      5     30.47  137.27     4662.45    14436.62
  55       0      4     26.85  116.50     4689.31    14553.13
  56       0      3     23.90   97.52     4713.20    14650.65
  57       0      2     19.40   74.38     4732.60    14725.03
  58       1      1    381.94 1042.23     5114.54    15767.26
  59       0      4     27.28  117.65     5141.82    15884.92
  60       1      3    403.42 1122.22     5545.24    17007.14
  61       0      2     14.89   62.19     5560.12    17069.33
  62       1      4    425.33 1192.40     5985.45    18261.73
  63       1      3    441.40 1224.79     6426.86    19486.51
  64       0      2     15.30   63.31     6442.16    19549.83
  65       0      2     11.72   53.65     6453.88    19603.48
  66       0      3     24.03   97.88     6477.91    19701.36
  67       0      4     26.26  114.89     6504.17    19816.25
  68       1      2    436.13 1199.56     6940.30    21015.81
  69       0      1     10.08   38.21     6950.38    21054.02
  70       0      2     14.77   61.89     6965.15    21115.90
  71       0      3     17.59   80.50     6982.74    21196.40
  72       1      3    480.23 1329.61     7462.97    22526.01
  73       0      2     19.94   75.84     7482.91    22601.85
  74       1      2    453.27 1245.82     7936.17    23847.67
  75       1      3    485.36 1343.46     8421.53    25191.14
  76       0      2     18.81   72.78     8440.34    25263.92
  77       0      1      7.73   31.88     8448.07    25295.80
  78       0      3     17.90   81.34     8465.98    25377.14
Cumulative Distance: 8465.98
Cumulative Cost: 25377.14
Longest Trip: 485.36
Least Cost: 23.44
